StateAbbr,State,CityName,Measure,DataValueTypeID,Data_Value,PopulationCount,CA-latitude,CA-longitude,FL-latitude,FL-longitude,MA-latitude,MA-longitude
CA,California,Alameda,High blood pressure among adults aged >=18 Years,AgeAdjPrv,23.8,73812,38.42949777,-122.7932892,30.56258338,-84.25793626,42.11794375,-72.61567902
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25.8,73812,38.40584831,-122.7706508,30.53748735,-84.20871632,42.12010873,-72.60831608
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,27.3,3646,38.47027309,-122.7666963,30.53227747,-84.29074666,42.10990369,-72.60416814
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25.3,4107,38.46099482,-122.7610873,30.52419903,-84.22929919,42.12374674,-72.60015173
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,29.6,4896,38.44323162,-122.7583481,30.52411661,-84.20953315,42.1037724,-72.59408744
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,27,4722,38.47008911,-122.7582655,30.52391235,-84.25964761,42.1152829,-72.59035705
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25,4866,38.4576594,-122.7486397,30.51878807,-81.67963122,42.12613055,-72.58628123
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,23.8,4640,38.47712869,-122.744927,30.51294804,-84.1642586,42.0984518,-72.58500885
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,24,4567,38.43395243,-122.739213,30.50679818,-84.22391638,42.10877795,-72.58385855
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,22.2,2928,38.45093882,-122.7367428,30.50545911,-81.52589259,42.09206911,-72.58142541
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25.1,4651,38.42019161,-122.735766,30.50295276,-84.33707898,42.13359141,-72.5775291
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,26.3,6259,38.46514464,-122.7356597,30.50237082,-81.60065564,42.10252788,-72.57594368
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25.5,6526,38.44078601,-122.7321216,30.50145322,-84.34169001,42.11569745,-72.57161403
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,26.8,7074,38.40703104,-122.7281542,30.49326987,-84.23386395,42.09458473,-72.57136769
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,27.9,4357,38.42873504,-122.7248932,30.48829627,-84.20391125,42.07762503,-72.56855707
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,25.8,3183,38.45922712,-122.7228513,30.48680713,-84.31828861,42.09071407,-72.56593021
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,28.4,3271,38.42293499,-122.7192466,30.48502811,-84.33949754,42.10512081,-72.5656816
CA,California,Alameda,High blood pressure among adults aged >=18 Years,CrdPrv,19.9,4119,38.44164212,-122.7133011,30.48295305,-84.25754613,42.14116637,-72.56050178
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,AgeAdjPrv,26.4,83089,38.45703007,-122.7128444,30.47870249,-84.28647661,42.12589265,-72.55592148
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27.7,83089,38.41560778,-122.711081,30.47335737,-84.17092307,42.09181583,-72.55588826
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27,4255,38.43517998,-122.7083509,30.47157497,-84.34170797,42.1083152,-72.55240378
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,24.3,3858,38.44833808,-122.7070355,30.469994,-84.30075482,42.0813881,-72.54714794
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,28.1,4098,38.44644231,-122.7060059,30.46906278,-84.32865032,42.12503258,-72.54470348
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,26.7,5654,38.44644231,-122.7060059,30.46599847,-84.36620828,42.07048046,-72.54458845
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,29.2,3279,38.48144354,-122.7057033,30.46561645,-84.22086028,42.10000032,-72.54069368
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27.8,3464,38.45997756,-122.6993365,30.46375533,-84.27038595,42.1154978,-72.53952541
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,23.7,4998,38.4250266,-122.6971994,30.45922283,-84.24414335,42.1154978,-72.53952541
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,24.5,4686,38.44270453,-122.691382,30.4591281,-81.75968557,42.12222791,-72.5332705
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,26,4218,38.46656293,-122.6754246,30.45839085,-84.30492785,42.14852753,-72.53298307
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,31.7,3206,38.42680854,-122.6705747,30.45707585,-84.33191479,42.09084943,-72.52839902
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,30.2,3842,38.43606597,-122.667742,30.45692804,-84.28386496,42.13362066,-72.52636458
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,25.6,5447,38.45096868,-122.6660062,30.45657709,-84.31848082,42.11044,-72.51936065
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,33.5,4361,38.47855242,-122.6638795,30.45489512,-84.25264599,42.12440871,-72.50705766
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27.7,3802,38.4654612,-122.6563753,30.45489512,-84.25264599,42.09550576,-72.50447308
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,26.9,3942,38.43447871,-122.6544649,30.45425669,-84.30267502,42.1495778,-72.50393145
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,29.3,3387,38.4725155,-122.6433259,30.45265583,-81.60913597,42.14009508,-72.50130348
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,28.9,4871,38.43577507,-122.6047648,30.45016507,-84.29242615,42.15766907,-72.49948725
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,31.7,2596,38.44078343,-122.5920384,30.44795128,-84.16633855,42.12620677,-72.48819533
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27.6,5770,37.78897725,-122.5145174,30.4459424,-81.68561052,42.1021053,-72.4844176
CA,California,Alhambra,High blood pressure among adults aged >=18 Years,CrdPrv,27.5,3355,37.75544051,-122.5097448,30.44530659,-81.65561976,42.2566382,-71.86210769
CA,California,Anaheim,High blood pressure among adults aged >=18 Years,AgeAdjPrv,27.2,336265,37.74221086,-122.5073636,30.44473591,-84.3116764,42.28387039,-71.86000132
