Year,StateAbbr,StateDesc,CityName,Category,Measure,Data_Value,PopulationCount,343,Datavalue,MH
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,23.8,73812,Mental health not good for >=14 days among adults aged >=18 Years,9.5,A
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25.8,73812,Mental health not good for >=14 days among adults aged >=18 Years,9.4,B
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,27.3,3646,Mental health not good for >=14 days among adults aged >=18 Years,8.7,C
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25.3,4107,Mental health not good for >=14 days among adults aged >=18 Years,10.4,D
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,29.6,4896,Mental health not good for >=14 days among adults aged >=18 Years,10.4,D
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,27,4722,Mental health not good for >=14 days among adults aged >=18 Years,13.4,E
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25,4866,Mental health not good for >=14 days among adults aged >=18 Years,9.6,F
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,23.8,4640,Mental health not good for >=14 days among adults aged >=18 Years,9,G
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,24,4567,Mental health not good for >=14 days among adults aged >=18 Years,9.3,H
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,22.2,2928,Mental health not good for >=14 days among adults aged >=18 Years,10.1,I
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,4651,Mental health not good for >=14 days among adults aged >=18 Years,9.9,J
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,26.3,6259,Mental health not good for >=14 days among adults aged >=18 Years,9,G
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25.5,6526,Mental health not good for >=14 days among adults aged >=18 Years,7.9,K
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,26.8,7074,Mental health not good for >=14 days among adults aged >=18 Years,6.9,L
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,27.9,4357,Mental health not good for >=14 days among adults aged >=18 Years,9.8,M
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,25.8,3183,Mental health not good for >=14 days among adults aged >=18 Years,9,G
