StateAbbr,State,CityName,Measure,DataValueTypeID,Data_Value,PopulationCount
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,AgeAdjPrv,24.2,84392
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.9,84392
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,18.5,287
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,34.4,3878
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,29.2,3794
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,20.7,4470
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.4,3298
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,27.9,1025
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,11.3,2224
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,30.7,5183
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,24.2,3801
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,27.2,5012
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,29.4,4040
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.3,4912
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,37.8,2838
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,42.1,1010
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,40.2,3108
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,30.8,3314
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,33.3,2924
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,30.8,2288
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.6,4276
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,26.6,2228
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28,6318
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,25.3,4171
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.5,5222
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,27.4,1079
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,28.7,1839
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,29.8,1253
FL,Florida,Boca Raton,High blood pressure among adults aged >=18 Years,CrdPrv,32.8,600
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,AgeAdjPrv,29.9,68217
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,34.3,68217
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,48.4,109
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,38.6,1501
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,42.2,3611
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,38.9,6185
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,22.5,4717
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,55.7,240
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,33,2015
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,20.2,833
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,22.8,3751
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,29.1,4843
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,26.3,2892
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,36.7,3673
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,30.8,3163
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,34.7,1254
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,53.1,1938
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,29.7,3723
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,27.7,2364
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,40.4,3726
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,33.3,4619
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,37.4,2110
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,46.8,2161
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,32.7,5068
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,29.1,601
FL,Florida,Boynton Beach,High blood pressure among adults aged >=18 Years,CrdPrv,43.9,3120
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,AgeAdjPrv,26.9,154305
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,31.4,154305
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,25.1,5423
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,26,8526
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,30.8,4382
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,25.5,9067
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,26.4,5332
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,25.1,6343
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,31.6,3594
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,31.9,5283
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,32.9,9287
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,24.2,337
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,31,5245
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,34.1,5940
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,27.9,6528
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,32,8065
FL,Florida,Cape Coral,High blood pressure among adults aged >=18 Years,CrdPrv,32.3,6229
