Year,StateAbbr,StateDesc,Category,Measure,Data_Value,,Year,StateAbbr,StateDesc,CityName,Category,Measure,,MH
2015,FL,Florida,Health Outcomes,50,24.2,,2015,FL,Florida,Boca Raton,Health Outcomes,51,1.2,A
2015,FL,Florida,Health Outcomes,50,28.9,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10.6,B
2015,FL,Florida,Health Outcomes,50,18.5,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10.7,C
2015,FL,Florida,Health Outcomes,50,34.4,,2015,FL,Florida,Boca Raton,Health Outcomes,51,8.5,D
2015,FL,Florida,Health Outcomes,50,29.2,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9,E
2015,FL,Florida,Health Outcomes,50,20.7,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.3,F
2015,FL,Florida,Health Outcomes,50,28.4,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.4,G
2015,FL,Florida,Health Outcomes,50,27.9,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.9,H
2015,FL,Florida,Health Outcomes,50,11.3,,2015,FL,Florida,Boca Raton,Health Outcomes,51,23.5,I
2015,FL,Florida,Health Outcomes,50,30.7,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.5,J
2015,FL,Florida,Health Outcomes,50,24.2,,2015,FL,Florida,Boca Raton,Health Outcomes,51,11.1,K
2015,FL,Florida,Health Outcomes,50,27.2,,2015,FL,Florida,Boca Raton,Health Outcomes,51,13.6,L
2015,FL,Florida,Health Outcomes,50,29.4,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10.5,M
2015,FL,Florida,Health Outcomes,50,28.3,,2015,FL,Florida,Boca Raton,Health Outcomes,51,12.2,N
2015,FL,Florida,Health Outcomes,50,37.8,,2015,FL,Florida,Boca Raton,Health Outcomes,51,7.5,O
2015,FL,Florida,Health Outcomes,50,42.1,,2015,FL,Florida,Boca Raton,Health Outcomes,51,6.6,P
2015,FL,Florida,Health Outcomes,50,40.2,,2015,FL,Florida,Boca Raton,Health Outcomes,51,7.9,Q
2015,FL,Florida,Health Outcomes,50,30.8,,2015,FL,Florida,Boca Raton,Health Outcomes,51,11,R
2015,FL,Florida,Health Outcomes,50,33.3,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10.2,S
2015,FL,Florida,Health Outcomes,50,30.8,,2015,FL,Florida,Boca Raton,Health Outcomes,51,8.9,T
2015,FL,Florida,Health Outcomes,50,28.6,,2015,FL,Florida,Boca Raton,Health Outcomes,51,11.7,U
2015,FL,Florida,Health Outcomes,50,26.6,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.8,V
2015,FL,Florida,Health Outcomes,50,28,,2015,FL,Florida,Boca Raton,Health Outcomes,51,11,R
2015,FL,Florida,Health Outcomes,50,25.3,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.7,X
2015,FL,Florida,Health Outcomes,50,28.5,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.2,Y
2015,FL,Florida,Health Outcomes,50,27.4,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10,Z
2015,FL,Florida,Health Outcomes,50,28.7,,2015,FL,Florida,Boca Raton,Health Outcomes,51,10.4,AA
2015,FL,Florida,Health Outcomes,50,29.8,,2015,FL,Florida,Boca Raton,Health Outcomes,51,13.4,AB
2015,FL,Florida,Health Outcomes,50,32.8,,2015,FL,Florida,Boca Raton,Health Outcomes,51,9.8,V
2015,FL,Florida,Health Outcomes,50,29.9,,2015,FL,Florida,Boynton Beach,Health Outcomes,51,13.8,AD
2015,FL,Florida,Health Outcomes,50,34.3,,2015,FL,Florida,Boynton Beach,Health Outcomes,51,13,AE
2015,FL,Florida,Health Outcomes,50,48.4,,2015,FL,Florida,Boynton Beach,Health Outcomes,51,6.2,AF
