Year,StateAbbr,StateDesc,CityName,Category,Measure,Data_Value,,PopulationCount,GeoLocation,CityName,,,MH,,
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.9,199,4193,"(42.357708593, -71.0694111834)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,7.8,78,AI
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.4,194,2240,"(42.3432584355, -71.0753770418)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.0,80,BZ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,39.2,392,82,"(42.3285749338, -71.1110740086)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.1,81,FS
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.6,226,1508,"(42.3117567606, -71.1182631441)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.4,84,EQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.6,196,2783,"(42.3541192401, -71.0770215834)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.5,85,AG
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.9,169,3059,"(42.3515180626, -71.0856801965)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.5,85,AG
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.2,222,2858,"(42.3476384405, -71.0793850633)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.8,88,AD
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21,210,2023,"(42.3634254434, -71.0681679411)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.8,88,AD
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.6,166,2538,"(42.3676700957, -71.0517846174)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.9,89,AR
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,31,310,2444,"(42.3093513499, -71.1286068744)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,8.9,89,AR
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.4,194,2400,"(42.351835341, -71.0755159067)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.0,90,AF
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15,150,2478,"(42.3497222895, -71.0838807341)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.2,92,AE
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.8,208,2168,"(42.3727232662, -71.0600983411)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.2,92,AE
